"parameter_set_id","description","strategy","mean_estimated_rate","mean_monitored_sets","mean_true_rate","mean_true_catch","mean_estimated_catch","mean_catch_real","lower_ci_catch_real","upper_ci_catch_real","mean_catch_estimated","lower_ci_catch_estimated","upper_ci_catch_estimated","mean_catch_missed","lower_ci_catch_missed","upper_ci_catch_missed","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
15,"Trip bias 20%","trips",5.43427628465645,682.536,9.59560615507216,126110.75,71328.2120420508,126110.75,73592.975,197438.825,71328.2120420508,39988.4868077803,118789.247442134,54782.5379579492,23343.6241840469,98467.4620330288,-4.16132987041572,-43.2826900327565,-7.17540873920079,-1.97935254884513,-58.7865624180184,-21.9002891454697,6,0.2,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
15,"Trip bias 20%","vessels",9.46427570881845,520.066,9.59560615507216,126110.75,124515.201443706,126110.75,73592.975,197438.825,124515.201443706,49132.748972714,271416.814129697,1595.54855629425,-117231.055100152,87744.7043039722,-0.131330446253721,-0.861639197358966,-6.27115342464362,9.74933965776813,-59.6676647664695,94.0960477854506,6,0.2,0,-2,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
16,"Baseline 75%","sets",9.53060859104059,1957.272,9.56905807442753,124774.769,124285.645515555,124774.769,76467.925,202007.325,124285.645515555,74397.279164786,202698.777117496,489.12348444454,-15966.5698610617,16293.6610173175,-0.038449483386946,-0.335249308755791,-1.29103512346913,1.2613810421506,-11.9844039277713,12.5001051768831,7,0.2,0,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
16,"Baseline 75%","trips",9.54038034531939,1958.97,9.56905807442753,124774.769,124435.602738764,124774.769,76467.925,202007.325,124435.602738764,69173.4801751973,210790.802098755,339.166261235561,-45998.4462507788,40838.3415518048,-0.0286777291081403,-0.107471517812282,-3.21382628391312,3.41730825564639,-28.3551150663094,34.1527823808478,7,0.2,0,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
16,"Baseline 75%","vessels",9.55175265678356,1970.879,9.56905807442753,124774.769,124401.734631236,124774.769,76467.925,202007.325,124401.734631236,46936.676529578,286858.380674337,373.034368763885,-137670.674315183,83297.7067874104,-0.0173054176439681,-0.614057321511332,-6.21366793739255,10.0207339914238,-59.1621376090814,93.4211873447108,7,0.2,0,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
17,"Vessel bias 75%","sets",9.59156523917944,1963.854,9.57036273176727,125464.84,125819.576398335,125464.84,74211.775,201630.85,125819.576398335,72995.1175262534,206150.201634322,-354.736398335249,-17208.021496165,15179.2978871213,0.0212025074121653,0.176736647349276,-1.13369649444148,1.3448658573814,-11.4909816001378,12.4508629800899,8,0.2,-2,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
17,"Vessel bias 75%","trips",9.56081046327955,1966.807,9.57036273176727,125464.84,125302.225558695,125464.84,74211.775,201630.85,125302.225558695,67020.3442929669,217834.650813177,162.614441305123,-49725.86422391,37167.1028004241,-0.00955226848772258,-0.164294292632545,-2.93424996832706,3.71766250948819,-27.4054600347261,38.3138846084025,8,0.2,-2,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
17,"Vessel bias 75%","vessels",4.31228074679244,2724.384,9.57036273176727,125464.84,56497.1430970889,125464.84,74211.775,201630.85,56497.1430970889,28008.8039166392,100689.602579543,68967.6969029111,19291.5362345679,141520.99505366,-5.25808198497483,-53.7279081956471,-10.2399593922815,-1.70448466748388,-76.5878389472313,-20.5136435718184,8,0.2,-2,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
18,"Trip bias 75%","sets",9.51765179500329,1959.266,9.523628961399,124504.423,124425.611668071,124504.423,76749.475,200005.75,124425.611668071,75056.617901583,200981.95333739,78.8113319291479,-16003.3950444099,14535.5540501082,-0.00597716639571883,-0.091563995769592,-1.09052026146676,1.22080344212668,-11.2931262510982,12.4827944037407,9,0.2,0,-2,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
18,"Trip bias 75%","trips",5.40044323329945,2552.941,9.523628961399,124504.423,70620.5399103965,124504.423,76749.475,200005.75,70620.5399103965,40882.4649258097,116677.319378784,53883.8830896035,24170.5612184772,99431.5022788122,-4.12318572809955,-43.0301156854054,-7.33114400687565,-2.16875068897662,-57.3486877803159,-26.3808367462217,9,0.2,0,-2,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42
