"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
22,"Baseline 100%","trips",0.116248513379105,0.116062633547885,0.000185879831220133,0.132039581886849,-0.0141166680416108,0.0162097850103905,-11.9253157459394,13.3666307374333,13,1,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
22,"Baseline 100%","vessels",0.116442788044501,0.116062633547885,0.00038015449661678,0.331348951221683,-0.0150724932890518,0.0158676788375047,-12.6159222256813,14.2428323790763,13,1,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
23,"Vessel bias 100%","sets",0.116003352942889,0.116225756999912,-0.000222404057023372,-0.168373920387731,-0.0158589670865242,0.0149724035357041,-12.8040601500184,12.94330661657,14,1,-2,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
23,"Vessel bias 100%","trips",0.116246658844155,0.116225756999912,2.09018442433057e-05,0.0626050625597908,-0.0152603734009383,0.0141365512447889,-13.2132725734852,11.9567194201421,14,1,-2,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
23,"Vessel bias 100%","vessels",0.11620328582248,0.116225756999912,-2.24711774321834e-05,0.0086776643315599,-0.0160927756400113,0.0159210092306912,-13.3296070345017,13.3032402353165,14,1,-2,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
24,"Trip bias 100%","sets",0.115781519660775,0.115856207274921,-7.46876141463578e-05,-0.0689741399786262,-0.0158337707302097,0.0168326216539599,-13.1616763878646,14.7257203695976,15,1,0,-2,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
24,"Trip bias 100%","trips",0.11588558800416,0.115856207274921,2.93807292384011e-05,0.0186880845329531,-0.0149648102459973,0.0142895856594693,-12.8114845184478,12.2462630745616,15,1,0,-2,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
24,"Trip bias 100%","vessels",0.115720800600367,0.115856207274921,-0.000135406674553954,-0.0862255583972523,-0.0147090562484383,0.0152955137869738,-12.6980160470577,13.7915152488244,15,1,0,-2,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42
25,"Baseline 30%","sets",0.0105861972679313,0.0107215839713251,-0.000135386703393775,-1.22524666885305,-0.00666438843464493,0.00781564832160667,-65.3779346816136,72.6228590824188,10,0.3,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
25,"Baseline 30%","trips",0.0107635975534092,0.0107215839713251,4.20135820841643e-05,0.141790575394806,-0.00682758445473707,0.00801647483678383,-65.6698344390589,75.7201909347816,10,0.3,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
25,"Baseline 30%","vessels",0.0105497855819377,0.0107215839713251,-0.000171798389387365,-1.43569884349408,-0.00789541159892096,0.00948716412085736,-73.6171634590519,91.7178636779786,10,0.3,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
26,"Vessel bias 30%","sets",0.0106218223451595,0.0106759623250216,-5.41399798620911e-05,-0.820496151399643,-0.00703077769753731,0.00754993517237168,-65.9483025028286,70.1240820512277,11,0.3,-2,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
26,"Vessel bias 30%","trips",0.0105944158300253,0.0106759623250216,-8.15464949962993e-05,-0.76285717359009,-0.00675265339380223,0.00778198797273291,-64.1072915157473,73.8814767010257,11,0.3,-2,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
26,"Vessel bias 30%","vessels",0.00775605558258429,0.0106759623250216,-0.0029199067424373,-26.8879717926538,-0.00934792227109201,0.0048989630611975,-83.4601913907318,46.2309589244897,11,0.3,-2,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
27,"Trip bias 30%","sets",0.0106194639409026,0.0107570130411069,-0.000137549100204324,-1.69412957711105,-0.00679273420862242,0.00779364067117612,-68.5606773706505,71.9693484887672,12,0.3,0,-2,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
27,"Trip bias 30%","trips",0.00673958821724686,0.0107570130411069,-0.00401742482386006,-36.9864213817301,-0.00938588205999553,0.00147340697564394,-86.240550845802,15.7844805826028,12,0.3,0,-2,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
